,Rating,MovieName
0,4.0,Unknown
1,2.0,லைட்மேன்
2,3.25,Unknown
3,2.25,Unknown
4,3.0,திருநாள்
5,2.5,என்னோடு விளையாடு
6,2.75,Unknown
7,2.0,Unknown
8,2.75,Unknown
9,2.75,Unknown
10,2.25,Unknown
11,2.0,தமிழ் படம் - 2 
12,2.75,Unknown
13,4.0,Unknown
14,2.5,பம்பாய் 
15,3.0,Unknown
16,3.0,களவாடிய பொழுதுகள்
17,3.0,Unknown
18,2.0,Unknown
19,3.0,Unknown
20,2.5,மாவீரன் கிட்டு 
21,3.0,Unknown
22,3.5,விண்ணைத்தாண்டி வந்த ஏஞ்சல்.
23,2.5, சைத்தான் 
24,2.25,Unknown
25,2.75,Unknown
26,2.5,Unknown
27,3.5,தானா சேர்ந்த கூட்டம் 
28,4.0,கடுகு.
29,3.0,அதே கண்கள் 
30,2.5,Unknown
31,2.0,Unknown
32,2.5,Unknown
33,3.0,கத்தி சண்டை 
34,2.0,அம்மாவென்று உலகத்தில் இல்லாட்டா...
35,2.75,Unknown
36,2.75,Unknown
37,2.25,Unknown
38,2.5,Unknown
39,2.75,Unknown
40,3.0,தீயோர் நட்பு தீமையையே தரும் 
41,3.25,Unknown
42,3.5,ரெமோ 
43,3.0,பிருந்தாவனம் 
44,3.5,Unknown
45,2.0,பிரகாமியம் 
46,2.75,Unknown
47,2.25,Unknown
48,3.0,Unknown
49,2.5,மியாவ்
50,3.0,Unknown
51,2.0,த்ரிஷா இல்லேன்னா நயன்தாரா 
52,2.75,Unknown
53,3.0,சண்டக்கோழி 2 
54,2.75,Unknown
55,2.5,Unknown
56,3.0,ஒரு முகத்திரை 
57,2.75,Unknown
58,2.0,பலே 
59,3.0,பகீர் 
60,3.5,மெர்சலை 
61,2.0,தெரு நாய்கள் 
62,2.5,பியார் பிரேமா காதல்
63,3.0,டிராபிக் ராமசாமி.
64,2.0,செய்
65,3.0,Unknown
66,4.0,மாநகரம்
67,3.5,விதிமதி உல்டா 
68,3.5,சென்னை 600028-II. 
69,3.0,Unknown
70,4.0,Unknown
71,2.5, ட்ரான்ஸ் இண்டியா மீடியா 
72,4.0,நடிகையர் திலகம்
73,3.0,கடம்பவனம்
74,4.0,Unknown
75,3.5,பைக்
76,2.0,கன்னாபின்னா
77,3.5,சத்யா
78,3.0, இருட்டு அறையில் முரட்டு குத்து 
79,2.5,வாங்க வாங்க
80,3.0,Unknown
81,2.25,Unknown
82,3.5,எம்எஸ்.தோனி 
83,3.0,Unknown
84,3.0, பலூன் 
85,2.5,Unknown
86,3.0,அவெஞ்சர்ஸ் இன்பினிட்டி வார் 
87,2.5,Unknown
88,3.0,பள்ளிப் பருவத்திலே 
89,4.0,காஷ்மோரா 
90,3.0,Unknown
91,3.5,Unknown
92,4.0,மீசையமுறுக்கு 
93,2.0,துப்பபறிவாளன்
94,2.75,Unknown
95,2.75,Unknown
96,3.0,செஞ்சிட்டாளே என் காதல
97,3.5,ஓடு ராஜா ஓடு
98,2.5,Unknown
99,3.25,Unknown
100,2.75,Unknown
101,3.5,Unknown
102,2.5,Unknown
103,2.5,மதுர வீரன்
104,2.0,Unknown
105,2.0,Unknown
106,3.0,திருட்டுப் பயலே - 2 
107,3.5,Unknown
108,3.0,Unknown
109,4.5,அருவி 
110,3.5,"என் பெயர் சூர்யா ,என் வீடு இந்தியா"
111,3.0,Unknown
112,3.5,Unknown
113,4.0,Unknown
114,3.5,Unknown
115,2.75,Unknown
116,2.75,Unknown
117,3.5,கண்ணுல காச காட்டப்பா
118,3.0,Unknown
119,2.25,Unknown
120,3.5,போகன் 
121,4.0,மாம்
122,2.0,Unknown
123,2.0,கவலை வேண்டாம்
124,3.5,Unknown
125,2.5,Unknown
126,2.75,Unknown
127,2.5,Unknown
128,2.5,Unknown
129,3.5,Unknown
130,2.75,Unknown
131,3.25,Unknown
132,2.5,Unknown
133,2.5,Unknown
134,3.0,விவேகம் 
135,2.75,Unknown
136,2.5, கடவுள் இருக்கான் குமாரு 
137,3.0,உன்னை பார்த்தால் கூட பயமா இல்லை.. நீ பேசுற லெந்த்தான டயலாக் கேட்க தான் பயமா இருக்கு
138,3.0,யுடர்ன் ( UTURN )
139,3.0,Unknown
140,3.0," உன் கண்ண 2 நிமிஷம் பார்த்து நான் மயங்கிட்டேன உன் சிரிப்பில் நான் மூழ்கிப் போகிறேன் ,உன் கருப்பு கலர் அப்படிய எடுத்து என் உடம்பு முழுதும் பூச ஆசை"
141,3.5,Unknown
142,2.25,Unknown
143,2.25,Unknown
144,3.0,சீமராஜா
145,2.5,Unknown
146,3.0,Unknown
147,3.0,பகிரி
148,2.0,"கத்தி எடுத்தவனுக்கு கத்தியால் தான் சாவு. எனவே, புத்தியால் அதில் இருந்து மீளப் பாருங்கள்..."
149,3.0,Unknown
150,2.0,Unknown
151,3.5,கருப்பன்
152,3.5,வைகை எக்ஸ்பிரஸ் 
153,2.75,Unknown
154,3.0,Unknown
155,2.75,Unknown
156,3.0,தொண்டன் 
157,3.5,Unknown
158,2.25,Unknown
159,3.0,கொடிவீரன் .
160,2.75,Unknown
161,2.0,பக்கா
162,2.75,Unknown
163,2.75,Unknown
164,3.75,Unknown
165,4.0,நான் தான் ஷபானா 
166,1.0,Unknown
167,2.5,Unknown
168,3.0,Unknown
169,3.0,Unknown
170,4.0,60 வயது மாநிறம்
171,2.75,Unknown
172,2.0, பன்ச் 
173,3.5,தரமணி 
174,2.5,தொடரி
175,2.5,Unknown
176,3.0,நோட்டா
177,2.25,Unknown
178,2.0,ஆரம்பமே அட்டகாசம்
179,3.0,Unknown
180,3.5,Unknown
181,2.75,Unknown
182,2.25,Unknown
183,2.0,Unknown
184,3.0,Unknown
185,2.75,Unknown
186,3.25,Unknown
187,2.75,Unknown
188,2.0,பழைய வண்ணாரப்பேட்டை 
189,2.25,Unknown
190,3.5,Unknown
191,3.5,சூப்பர் ஹீரோ 1
192,3.0,"பன்ச்'' :ஆக மொத்தத்தில், "
193,2.5,Unknown
194,3.25,Unknown
195,3.0,Unknown
196,2.75,Unknown
197,2.5, லக்ஷ்மி 
198,3.5,ரங்கூன் 
199,3.5,Unknown
200,2.5,யானும் தீயவன்
201,2.5,Unknown
202,3.5,அச்சமின்றி 
203,2.5,Unknown
204,2.75,Unknown
205,2.75,Unknown
206,2.5,திமிரு புடிச்சவன்
207,3.0,கதாநாயகன்
208,3.5,Unknown
209,3.5,Unknown
210,2.75,Unknown
211,3.0,இந்திரஜித்
212,1.0,"இந்த பிரபஞ்சத்திற்கே வாழ்க்கைத் தரும் கடவுள் ., பிஞ்சு போன நோட்டுக்கு வாழ்க்கைத் தர மாட்டாரா ? "
213,3.5,Unknown
214,3.25,Unknown
215,2.0,ஜூலியும் 4 - பேரும்
216,2.75,Unknown
217,4.0,ஆண்டவன் கட்டளை
218,2.5,சங்கிலி புங்கிலி கதவைத் தொற 
219,3.0, குற்றமே தண்டனை
220,2.75,Unknown
221,1.0,கூத்தன்
222,2.5,Unknown
223,2.0,Unknown
224,4.0,Unknown
225,2.5,Unknown
226,3.0,Unknown
227,3.5,சீதக்காதி
228,3.0,Unknown
229,2.5,தங்க ரதம் 
230,2.5,காத்திருப்போர் பட்டியல்
231,3.0,Unknown
232,2.75,Unknown
233,1.0,Unknown
234,2.5,Unknown
235,3.5,நுண்ணுணர்வு
236,2.5,Unknown
237,2.5,Unknown
238,3.0,Unknown
239,3.5,கவண்
240,3.0,ஜெமினிகணேசனும் சுருளிராஜனும் 
241,2.5,டிக் டிக் டிக்
242,2.5,Unknown
243,3.5,Unknown
244,2.0,Unknown
245,3.5,Unknown
246,3.5,ராஜா ரங்குஸ்கி 
247,3.25,Unknown
248,3.0,Unknown
249,3.0,உன்னை பார்த்தால் கூட பயமா இல்லை.. நீ பேசுற லெந்த்தான டயலாக் கேட்க தான் பயமா இருக்கு
250,2.5,Unknown
251,4.0,மாநகரம்
252,2.5,இப்படை வெல்லும் 
253,3.0,Unknown
254,3.5,நாச்சியார்... 
255,2.0,ஒரு நல்ல நாள் பாத்து சொல்றேன்
256,3.0,Unknown
257,3.5,Unknown
258,2.5,செம
259,2.25,Unknown
260,2.75,Unknown
261,3.0,Unknown
262,3.0,டார்லிங் - 2 
263,3.5,செக்கச்சிவந்த வானம்
264,2.5,Unknown
265,3.0,".<NEWLINE>கதை: தன் சகோதரர்களின் பணத்தாசையால் தன் காதலியை கல்யாணம் செய்து கொள்ள முடியாது வாழ்க்கையைஇழக்கும் இளம் மருத்துவர் விஜய் சேதுபதி ., குடிநோயாளி ஆகிறார் .கூடவே , குடும்பமானத்தையும் அடிக்கடி கப்பலேற்றுகிறார். அதனால் அவரை கொல்லவும் துணிகிறது குடும்பம். அதனால் தன் அம்மா ராதிகாவின் அட்வைஸ் படி ., குடும்பத்தை விட்டு பிரியும் விஜய் சேதுபதி ,மீண்டும் குடும்ப த்துடன் இணைந்தாரா ? இல்லையா. .? தமன்னா - சிருஷ்டி டாங்கே இருவருக்கும் விஜய் சேதுபதிக்கு மான உறவு என்ன ..? என்பது உள்ளிட்ட இன்னும் பல வினாக்களுக்கு வித்தியாசமாகவும் , சற்றே விறுவிறுப்பு கம்மியாகவும் விடையளிக்கிறது 'தர்மதுரை' படத்தின் மீதிக் கதை.<NEWLINE>காட்சிப்படுத்தல்: தென் மேற்கு பருவக்காற்று' படத்தில்விஜய் சேதுபதியை ஹீரோவாக அறிமுகம் செய்த சீனு ராமசாமியின் இயக்கத்தில் ., ரஜினியின் 'தர்மதுரை' டைட்டிலுடன் ,விஜய் சேதுபதி- தமன்னா முதன்முதலாக ஜோடி சேர்ந்து நடிக்க ,ஸ்டியோ 9 - ஆர்.கே. சுரேஷின் தயாரிப்பில் வந்திருக்கும் திரைப்படமே "
266,3.5," படக்கரு.<NEWLINE>கதை : தன் காதல் கணவரை ,தன் கண் எதிரே குடி போதையில் கார் ஏற்றி அடித்து போட்டதோடு , அவரை உயிரோடு விட்டால் சரிபட்டு வராது .... என இரும்பு ராடால் அடித்தும் கொன்றவர்களை தன் சிபிஐ போலீஸ் அதிகாரி பதவியை பயன்படுத்தி நயன்தாரா தீர்த்து கட்ட., அவரால் தன் பெயருக்கும் புகழுக்கும் களங்கம் ஏற்பட்டு , தொழில் ரீதியாக பாதிக்கப்படும் லோக்கல் போலீஸ் அதிகாரி அனுராக் கஷாப் ., நயனை டென்ஷன் படுத்த.,பல கொலைகளை செய்து அலைய விடுவதுடன் நயனின் ஆசை தம்பி அதர்வாவின் காதலியை கொன்று , அதர்வா மீது அந்த கொலை பழியை போடுவதுடன் தான் செய்த பிற கொலை பழிகளையும் அதர்வா மீது போட்டு ., நயனுக்கு கெட்டப்பெயர் ஏற்படுத்த நினைக்கிறார். .<NEWLINE>அனுராக் கஷாப் அவரது எண்ணம் ஈடேறியதா ? அல்லது நயன்தாரா ஜெயித்தாரா ...? என்பது தான் .இமைக்கா நொடிகள் "
267,3.5,எந்திரன்
268,2.0,தாயம் 
269,2.0,அகரவதம்.
270,2.75,Unknown
271,3.0,Unknown
272,3.25,Unknown
273,3.5,Unknown
274,4.0,Unknown
275,3.5,வேலைக்காரன்
276,3.5,காலா
277,3.5,Unknown
278,2.0,சிவலிங்கா
279,2.25,Unknown
280,2.5,Unknown
281,4.0,கடைக்குட்டி சிங்கம் 
282,1.0, பன்ச் 
283,3.0,இவன் தந்திரன்
284,3.5,Unknown
285,2.5,டோரா 
286,3.0,Unknown
287,3.0,மோகினி 
288,2.75,Unknown
289,2.5,Unknown
290,2.25,Unknown
291,2.75,Unknown
292,2.0,சாமி
293,2.5,மொட்ட சிவா கெட்ட சிவா
294,2.5,Unknown
295,3.0,Unknown
296,2.5, தமிழ்செல்வனும் தனியார் அஞ்சலும்
297,2.75,Unknown
298,2.5,விருத்தாசலம்.
299,2.25,Unknown
300,2.75,Unknown
301,3.5,Unknown
302,2.5,பண்டிகை
303,3.0,Unknown
304,2.75,Unknown
305,3.0, 8 தோட்டாக்கள் 
306,2.75,Unknown
307,2.25,Unknown
308,2.75,Unknown
309,3.0,மாற்றம் ஒன்றே மாறாதது ...
310,3.0,Unknown
311,3.0,Unknown
312,2.0,வீர சிவாஜி 
313,2.25,Unknown
314,3.0,Unknown
315,4.0,Unknown
316,2.5,Unknown
317,2.25,Unknown
318,2.25,Unknown
319,3.0,அடங்க மறு
320,2.0, வன மகன்
321,2.5,Unknown
322,2.5,Unknown
323,2.25,Unknown
324,3.5,Unknown
325,2.75,Unknown
326,3.5,கோடிட்டஇடங்களை நிரப்புக
327,2.5,Unknown
328,3.0,நெருப்புடா.
329,2.75,Unknown
330,3.25,Unknown
331,2.0,கதை எழுதுறேன்னு கூட்டிட்டுவந்து ஏன்டா சாவடிக்குறீங்க
332,2.75,Unknown
333,3.0,Unknown
334,2.0,Unknown
335,4.0,கோலமாவு கோகிலா 
336,3.75,Unknown
337,2.0,"சாமி, நீங்க உலக நாயகன் கமல் மாதிரியே இருக்கீங்களே"
338,2.5,பயமா இருக்கு .
339,3.5,காற்று வெளியிடை 
340,4.0,Unknown
341,2.0,Unknown
342,3.0,Unknown
343,2.5,பட்டதாரி 
344,3.25,Unknown
345,3.0,Unknown
346,2.75,Unknown
347,3.25,Unknown
348,3.25,Unknown
349,4.0,ப .பாண்டி 
350,3.0,பாகமதி
351,2.25,Unknown
352,3.0,சங்கு சக்கரம்
353,2.75,Unknown
354,3.5,பரியேறும் பெருமாள் 
355,3.0,Unknown
356,3.25,Unknown
357,2.5,பைரவா
358,3.5,அவளுக்கென்ன அழகிய முகம் 
359,2.5,பொதுவாக எம்மனசு தங்கம் 
360,1.0,Unknown
361,2.75,Unknown
362,2.25,Unknown
363,3.0,Unknown
364,3.0,லென்ஸ்
365,2.0,Unknown
366,3.0,ஜானி 
367,2.5, நாயகி 
368,2.5,பாஸ்கர் ஒரு ராஸ்கல்
369,1.0,அய்யனார் வீதி
370,3.0,பறந்து செல்ல வா
371,2.75,Unknown
372,2.75,Unknown
373,3.0,Unknown
374,2.0,இவனுக்கு எங்கேயோ மச்சம் இருக்கு ... 
375,2.5,Unknown
376,3.0,கிடாரி 
377,3.0,Unknown
378,2.5,Unknown
379,2.5,Unknown
380,2.75,Unknown
381,2.75,Unknown
382,3.0,Unknown
383,3.5,Unknown
384,2.75,Unknown
385,2.75,Unknown
386,2.5,Unknown
387,3.5,Unknown
388,3.25,Unknown
389,3.0,Unknown
390,3.75,Unknown
391,3.0,ஆயித்தில் இருவர் .
392,4.0,மோ
393,2.75,Unknown
394,2.0,Unknown
395,2.5,Unknown
396,2.5,இமை
397,4.0,காற்றின் மொழி
398,2.25,Unknown
399,3.25,Unknown
400,3.0,Unknown
401,2.5,Unknown
402,2.0,Unknown
403,3.0,Unknown
404,3.0,கிரிடிட் டைட்டில்ஸ்
405,3.5,குணா 
406,2.0, 465 
407,2.5,உள்குத்து 
408,2.75,Unknown
409,3.5,இளமி 
410,2.75,Unknown
411,2.75,Unknown
412,2.75,Unknown
413,4.0,நமது
414,2.75,Unknown
415,2.5,Unknown
416,2.75,Unknown
417,3.0,எனக்கு வாய்த்த அடிமைகள்
418,2.75,Unknown
419,3.5,ராட்சசன்
420,2.25,Unknown
421,3.0,ஸ்கெட்ச் 
422,2.5,சொல்லிவிடவா 
423,2.0,செம போத ஆகாதே.
424,3.0,Unknown
425,3.0,Unknown
426,2.75,Unknown
427,2.75,Unknown
428,2.5,சரவணன் இருக்க பயமேன்
429,2.75," என்.இராமசாமி தயாரிப்பில் காமெடியும், கலகலப்புமாக வந்திருக்கிறது<NEWLINE>படத்தின் கதை<NEWLINE>முதல் பாகத்தில் தன் எட்டு கண்டீஷன்களில் ஒன்றுக்கு கூட ஒத்து வராத பெண்ணை தனக்கு திருமணம் செய்து வைத்து விட்டார் கல்யாண புரோக்கர் நாரதர் நாயுடு என்பதால் அவர் மீது 34 ஆண்டுகளாக தீராத குரோதம் மற்றும் விரோதத்தோடு இருக்கும் கிட்டு மணி, பிஸினஸ், பிரண்ட்ஷிப் என பிஸியாய் அலையும் தன் ஒரே மகளுக்கு நாரதர் நாயுடு இல்லாது, நல்லதொரு மணமகனை தேடிப் பிடிக்க வேண்டும் என கோதாவில் குதிக்கிறார்.<NEWLINE>கிட்டு மணியின் மகளும் தனக்கு மாப்பிள்ளை பார்க்கிறார்கள் என்றதும் அன்று, அப்பா போட்ட கண்டீஷன்களைக் காட்டிலும் "
430,3.25,Unknown
431,3.0,Unknown
432,3.0,Unknown
433,2.0,Unknown
434,2.5,Unknown
435,3.0,Unknown
436,4.0,கூட்டத்தில் ஒருத்தன்
437,2.5,முன்னோடி
438,3.5,அம்மணி
439,2.0,அட்டு 
440,2.75,Unknown
441,2.75,Unknown
442,2.5,Unknown
443,3.5,மாரி - 2 
444,2.0,கொடி 
445,2.0, சாயா
446,2.75,Unknown
447,2.5,ஜுங்கா
448,2.5," உளவு அதிகாரியாக அதிரடி செய்திருக்கிறார். அவருக்கு காதலி ஆண்ட்ரியாவும், மனைவி பூஜா குமாரும் தங்கள் உயிரை துச்சமென மதித்து உதவுவதும் அவர்களுடனான ரொமான்ஸும், கமலின் தேசப்பற்றும்தான் விஸ்வரூபம் - 2"
449,2.75,Unknown
450,2.25,Unknown
451,2.5,Unknown
452,3.25,Unknown
453,2.75,Unknown
454,3.0,Unknown
455,2.5,பாக்கணும் போல இருக்கு
456,2.5,Unknown
457,2.75,Unknown
458,3.0,Unknown
459,3.0,ஆக்கம்
460,3.25,Unknown
461,3.0,Unknown
462,2.5,Unknown
463,2.75,Unknown
464,2.75,Unknown
465,3.5,Unknown
466,2.75,Unknown
467,2.5,மணியார் குடும்பம்
468,2.5, வீரா
469,2.0,சண்டிக் குதிரை
470,3.5,நிசப்தம்
471,3.0,மகளிர் மட்டும்.
472,3.5,மரகத நாணயம்
473,3.75,Unknown
474,3.75,Unknown
475,4.5,அறம்
476,2.0,Unknown
477,2.5,நெஞ்சில் துணிவிருந்தால் 
478,2.75,Unknown
479,1.0,இந்திரக் கோபை 
